ux,uy,uz,Ts,CO2,H2O
 -1.752750, -2.987000, -2.013250,  8.715316, 16.940000,406.900000
 -1.652750, -2.713750, -1.880000,  8.717003, 16.950000,406.400000
 -0.636500, -2.766750, -1.826000,  8.723700, 16.950000,405.900000
 -0.995000, -2.808750, -1.806250,  8.760556, 16.940000,407.200000
 -1.166500, -2.584000, -1.748500,  8.820883, 16.940000,406.700000
 -1.103000, -2.327750, -2.105000,  8.871142, 16.940000,406.500000
  0.296750, -2.794500, -2.695500,  8.911333, 16.940000,407.300000
 -0.047250, -2.684000, -2.265250,  9.023636, 16.940000,405.700000
  0.070500, -3.280250, -2.063000,  8.936492, 16.940000,406.600000
 -0.196250, -3.512500, -1.567000,  9.073914, 16.940000,406.900000
 -0.524250, -3.088000, -1.398500,  9.112431, 16.940000,409.500000
 -0.406250, -3.014000, -1.543250,  9.053761, 16.930000,410.200000
 -0.217250, -2.947500, -1.520500,  9.045424, 16.920000,410.900000
 -0.193000, -3.242250, -1.394000,  9.047061, 16.920000,411.800000
 -0.311000, -3.301500, -1.244250,  9.018573, 16.910000,411.800000
 -0.325250, -3.248000, -1.384500,  9.038673, 16.920000,411.500000
 -0.262250, -3.243000, -1.281250,  9.080614, 16.920000,411.300000
 -0.553250, -3.460000, -1.052750,  9.031973, 16.910000,411.700000
 -0.421000, -3.372000, -1.013250,  9.075551, 16.910000,411.600000
 -0.166250, -3.519000, -0.930250,  9.094016, 16.910000,410.900000
 -0.318750, -3.735000, -1.035000,  9.114119, 16.910000,411.800000
  0.157500, -3.802750, -0.896750,  9.035349, 16.920000,411.800000
 -0.186250, -3.582750, -0.819750,  9.087316, 16.910000,411.800000
 -0.072250, -3.459750, -0.816500,  9.077239, 16.910000,411.100000
  0.388000, -3.549500, -0.980250,  9.068851, 16.910000,411.800000
  0.180250, -3.904250, -1.472250,  9.050437, 16.910000,411.400000
 -0.294000, -3.812750, -1.137750,  9.050437, 16.910000,411.700000
 -0.341250, -3.695000, -1.084750,  9.047061, 16.910000,411.400000
 -0.194750, -3.282750, -1.032500,  9.030336, 16.910000,411.600000
 -0.645250, -2.916500, -1.191000,  9.083940, 16.910000,411.700000
 -0.023000, -3.015750, -1.598250,  8.953214, 16.910000,411.600000
  0.098000, -3.533000, -1.836000,  9.038673, 16.920000,411.400000
  0.120500, -3.348000, -1.861000,  9.040360, 16.920000,411.100000
  0.027750, -3.438750, -1.706000,  9.047061, 16.920000,411.400000
  0.283000, -3.492750, -1.371250,  9.033661, 16.920000,411.000000
  0.082250, -3.280250, -1.557000,  9.055449, 16.920000,410.400000
  0.314250, -3.458750, -1.488000,  9.072226, 16.920000,411.700000
  0.112500, -3.402500, -1.478750,  9.097341, 16.920000,411.200000
  0.066250, -3.116250, -1.197500,  9.089004, 16.920000,411.000000
  0.238000, -3.189500, -1.194250,  9.070538, 16.920000,411.500000
  0.449500, -3.458000, -1.193000,  9.043736, 16.920000,411.600000
  0.242250, -3.532250, -0.949500,  9.087316, 16.910000,411.800000
 -0.062750, -3.529750, -1.074750,  9.104042, 16.910000,411.300000
  0.134000, -3.250250, -0.936750,  9.042048, 16.910000,411.500000
  0.191750, -3.342000, -0.801750,  9.102405, 16.910000,411.700000
  0.420000, -3.121500, -1.216000,  9.013560, 16.920000,411.800000
  0.097500, -3.370500, -0.513750,  9.085628, 16.910000,411.400000
 -0.055500, -3.112750, -0.690750,  9.162717, 16.920000,411.400000
  0.198750, -3.321500, -0.916750,  9.063837, 16.910000,412.400000
  0.165750, -3.458750, -0.909250,  9.120820, 16.910000,412.700000
 -0.444000, -2.956500, -1.266250,  9.075551, 16.910000,411.300000
